"data_all_energy","energy_people","energy_experiments"
3657.75705228314,"p1","e1"
3540.52020144879,"p1","e1"
3552.39950316227,"p1","e1"
3531.12100936522,"p1","e1"
3577.77726257521,"p1","e1"
3734.78921213911,"p1","e1"
3698.28414114482,"p1","e1"
3522.89406261853,"p1","e1"
3791.99056658851,"p1","e1"
3711.11731988482,"p1","e1"
3313.05531789289,"p2","e1"
3534.6458506079,"p2","e1"
3371.01760438361,"p2","e1"
3341.68729425407,"p2","e1"
3487.02949116448,"p2","e1"
3554.182806581,"p2","e1"
3477.70456778418,"p2","e1"
3444.55265887406,"p2","e1"
3519.75304390968,"p2","e1"
3169.13839670761,"p2","e1"
3486.09771816586,"p3","e1"
3617.90174033887,"p3","e1"
3648.40404058008,"p3","e1"
3308.40688203637,"p3","e1"
3446.20372338691,"p3","e1"
3454.44586490506,"p3","e1"
3592.10909856953,"p3","e1"
3521.14116154565,"p3","e1"
3450.39816922321,"p3","e1"
3592.95970214633,"p3","e1"
3728.10063694341,"p4","e1"
3412.89624704813,"p4","e1"
3530.33212268523,"p4","e1"
3519.77407954982,"p4","e1"
3439.31065108418,"p4","e1"
3422.63507780109,"p4","e1"
3558.25965581892,"p4","e1"
3556.60618588386,"p4","e1"
3669.62188144624,"p4","e1"
3741.41217647474,"p4","e1"
3859.74169430837,"p5","e1"
3571.34670735497,"p5","e1"
3422.20430232969,"p5","e1"
3416.60423008229,"p5","e1"
3667.77394648631,"p5","e1"
3484.97384338849,"p5","e1"
3490.81398816099,"p5","e1"
3528.04269842478,"p5","e1"
3504.06167003725,"p5","e1"
3395.62662061008,"p5","e1"
3437.50308179027,"p6","e1"
3577.27940518559,"p6","e1"
3704.51151032716,"p6","e1"
3608.86292354515,"p6","e1"
3824.4692858858,"p6","e1"
3586.74375790283,"p6","e1"
3376.53195078792,"p6","e1"
3427.20722913994,"p6","e1"
3608.47290409607,"p6","e1"
3389.4234971558,"p6","e1"
3741.51225696756,"p7","e1"
3571.67505368234,"p7","e1"
3833.1316934771,"p7","e1"
3436.08629313954,"p7","e1"
3555.88121790436,"p7","e1"
3297.48836294068,"p7","e1"
3273.6743542316,"p7","e1"
3624.65071396661,"p7","e1"
3526.6962378219,"p7","e1"
3573.39101714032,"p7","e1"
3492.84002148424,"p8","e1"
3541.93016476799,"p8","e1"
3466.68471898748,"p8","e1"
3296.58771689911,"p8","e1"
3361.40270182745,"p8","e1"
3453.5371940019,"p8","e1"
3374.77804311081,"p8","e1"
3318.28631847478,"p8","e1"
3201.25298944678,"p8","e1"
3200.78785885891,"p8","e1"
3826.29247737717,"p9","e1"
3606.49907678042,"p9","e1"
3669.1598189096,"p9","e1"
3635.87698870494,"p9","e1"
3592.65023571206,"p9","e1"
3707.66452910536,"p9","e1"
3515.00639364511,"p9","e1"
3729.34861135445,"p9","e1"
3698.54149100756,"p9","e1"
3467.36686066564,"p9","e1"
3486.87506454363,"p10","e1"
3719.66027617904,"p10","e1"
2886.23549824374,"p10","e1"
3605.10759226269,"p10","e1"
3314.95464882155,"p10","e1"
3658.1673201208,"p10","e1"
3650.19369477037,"p10","e1"
3596.71769411182,"p10","e1"
3157.22935953814,"p10","e1"
3697.47160215314,"p10","e1"
3638.0077874862,"p1","e2"
3695.39216454397,"p1","e2"
3841.54086416831,"p1","e2"
3535.83396489358,"p1","e2"
3863.67315466714,"p1","e2"
3645.66126473704,"p1","e2"
3646.32619803277,"p1","e2"
3632.14099680996,"p1","e2"
3748.41019518443,"p1","e2"
3436.36901131764,"p1","e2"
3352.7216508076,"p2","e2"
3747.33863474815,"p2","e2"
3416.27762821357,"p2","e2"
3595.08302806205,"p2","e2"
3629.6968098889,"p2","e2"
3553.44856998662,"p2","e2"
3532.98297384507,"p2","e2"
3515.5333267991,"p2","e2"
3571.9070120322,"p2","e2"
3416.55785159017,"p2","e2"
3613.89797373664,"p3","e2"
3696.38194034395,"p3","e2"
3535.14189311025,"p3","e2"
3736.19884474546,"p3","e2"
3112.52210219868,"p3","e2"
3637.72874065176,"p3","e2"
3505.71616693519,"p3","e2"
3590.55703934084,"p3","e2"
3796.64815408591,"p3","e2"
3649.49862254659,"p3","e2"
3781.58435773137,"p4","e2"
3406.47049402714,"p4","e2"
3566.12897027054,"p4","e2"
3645.90451975137,"p4","e2"
3640.71659284615,"p4","e2"
3658.65897009198,"p4","e2"
3790.54379785601,"p4","e2"
3588.43334852299,"p4","e2"
3559.37196734533,"p4","e2"
3860.84516024108,"p4","e2"
3950.21397137905,"p5","e2"
3813.78389336682,"p5","e2"
3574.21115452831,"p5","e2"
3452.0978994826,"p5","e2"
3540.6879180124,"p5","e2"
3816.17959922583,"p5","e2"
3618.78995645913,"p5","e2"
3716.94318964141,"p5","e2"
3786.10759498093,"p5","e2"
3636.22726627927,"p5","e2"
3817.11128284042,"p6","e2"
3710.12257984109,"p6","e2"
3780.24451384163,"p6","e2"
3437.78147681946,"p6","e2"
3651.74497000008,"p6","e2"
3729.1662022989,"p6","e2"
3389.75921039681,"p6","e2"
3681.85354964816,"p6","e2"
3607.10154455686,"p6","e2"
3670.11945325812,"p6","e2"
3536.25383783517,"p7","e2"
3524.11541595703,"p7","e2"
3693.56625904155,"p7","e2"
3548.47539869426,"p7","e2"
3556.50888759075,"p7","e2"
3653.75995828459,"p7","e2"
3750.41292829904,"p7","e2"
3542.39068418603,"p7","e2"
3695.74838961726,"p7","e2"
3531.02238040423,"p7","e2"
3773.94258850382,"p8","e2"
3602.84432232456,"p8","e2"
3456.98544110545,"p8","e2"
3635.91155818049,"p8","e2"
3433.86456882773,"p8","e2"
3539.79118378194,"p8","e2"
3346.70920796419,"p8","e2"
3595.7212998505,"p8","e2"
3422.65000522257,"p8","e2"
3312.9207756727,"p8","e2"
3923.56340823807,"p9","e2"
3910.3733990156,"p9","e2"
4264.33257073103,"p9","e2"
3985.91346149774,"p9","e2"
3932.52204051838,"p9","e2"
3800.56025328772,"p9","e2"
3723.11912798513,"p9","e2"
3981.19403884847,"p9","e2"
3813.94409354872,"p9","e2"
3592.36796389709,"p9","e2"
3728.39623196885,"p10","e2"
3593.9875816228,"p10","e2"
3537.44562425663,"p10","e2"
3387.48683970102,"p10","e2"
3428.90984236494,"p10","e2"
3673.33439399585,"p10","e2"
3553.31041007361,"p10","e2"
3505.68367073214,"p10","e2"
3430.58993508285,"p10","e2"
3778.13198693236,"p10","e2"
4029.7737834987,"p1","e3"
3883.37236350205,"p1","e3"
3872.32237058896,"p1","e3"
4138.83319473201,"p1","e3"
3920.8262080906,"p1","e3"
3878.04003156634,"p1","e3"
3900.96412956635,"p1","e3"
3781.20020987257,"p1","e3"
3935.25382790125,"p1","e3"
3978.9484677972,"p1","e3"
3768.98265449955,"p2","e3"
3687.40091987324,"p2","e3"
3886.37791828866,"p2","e3"
3746.08256329055,"p2","e3"
3901.81212148135,"p2","e3"
3607.31692648032,"p2","e3"
3894.2342160744,"p2","e3"
3620.88111820829,"p2","e3"
3902.38970117498,"p2","e3"
3850.36180564097,"p2","e3"
3792.28524229028,"p3","e3"
3646.04354863737,"p3","e3"
3686.05555222414,"p3","e3"
3808.45168463135,"p3","e3"
3478.83267308008,"p3","e3"
3760.73943319603,"p3","e3"
3992.23962496043,"p3","e3"
3634.26799846603,"p3","e3"
3857.42140853329,"p3","e3"
3768.29309493428,"p3","e3"
3861.45039982896,"p4","e3"
3946.62528692774,"p4","e3"
3739.94439864897,"p4","e3"
3857.28109054375,"p4","e3"
3830.50090881909,"p4","e3"
3868.72848231488,"p4","e3"
3809.86695699884,"p4","e3"
3711.24464093661,"p4","e3"
3926.86565055097,"p4","e3"
3897.74046478412,"p4","e3"
4053.79345498561,"p5","e3"
3707.65763042441,"p5","e3"
3575.66988230356,"p5","e3"
3882.83460831493,"p5","e3"
3683.41802813723,"p5","e3"
3637.36912336045,"p5","e3"
3760.03329918047,"p5","e3"
3749.7166957235,"p5","e3"
4184.21561798048,"p5","e3"
4092.16173885145,"p5","e3"
3937.75434878015,"p6","e3"
3953.64642068784,"p6","e3"
3902.56671163727,"p6","e3"
3879.19915863491,"p6","e3"
3824.19579814167,"p6","e3"
3791.21664391364,"p6","e3"
3974.3630652605,"p6","e3"
4000.67141557515,"p6","e3"
3809.02494480252,"p6","e3"
3805.28144428939,"p6","e3"
3982.42452856361,"p7","e3"
3871.89434178625,"p7","e3"
3493.03134260866,"p7","e3"
3875.23473202955,"p7","e3"
4020.95026207734,"p7","e3"
3986.05167164851,"p7","e3"
3830.1831078699,"p7","e3"
3889.87340959351,"p7","e3"
3892.51656284401,"p7","e3"
4069.63377313597,"p7","e3"
3737.61990902515,"p8","e3"
3713.15677754181,"p8","e3"
3824.0708016085,"p8","e3"
3794.53399284742,"p8","e3"
3759.77482156255,"p8","e3"
3534.49857942619,"p8","e3"
3610.98224398134,"p8","e3"
3836.13545468323,"p8","e3"
3454.59855534139,"p8","e3"
3519.824561984,"p8","e3"
3948.60386076494,"p9","e3"
3846.31856557054,"p9","e3"
4246.61884124114,"p9","e3"
4394.99021774189,"p9","e3"
3957.83699119273,"p9","e3"
3894.4684804202,"p9","e3"
4153.59289864735,"p9","e3"
3878.99296424526,"p9","e3"
4161.81173803116,"p9","e3"
3952.00682898457,"p9","e3"
3698.95464595981,"p10","e3"
3936.58991289617,"p10","e3"
3715.33405431965,"p10","e3"
3739.3039805451,"p10","e3"
3833.30600031766,"p10","e3"
3687.3026513891,"p10","e3"
3748.81370562156,"p10","e3"
4113.62940423415,"p10","e3"
3811.40267286162,"p10","e3"
3903.73114132073,"p10","e3"
3628.16554872335,"p1","e4"
3589.20617456103,"p1","e4"
3645.80695820345,"p1","e4"
3693.87931885693,"p1","e4"
3413.03862653451,"p1","e4"
3594.78552903548,"p1","e4"
3607.93373813669,"p1","e4"
3694.94067625771,"p1","e4"
3568.02117993147,"p1","e4"
3705.49640222686,"p1","e4"
3476.20159639389,"p2","e4"
3488.47419727262,"p2","e4"
3511.5661603025,"p2","e4"
3352.68025361024,"p2","e4"
3515.5561033897,"p2","e4"
3404.55490082627,"p2","e4"
3533.47870762383,"p2","e4"
3374.37422779838,"p2","e4"
3576.74748080494,"p2","e4"
3467.46380662898,"p2","e4"
3558.66411929072,"p3","e4"
3255.58364292931,"p3","e4"
3410.12003135331,"p3","e4"
3378.66815692346,"p3","e4"
3279.61850901186,"p3","e4"
3303.43022065571,"p3","e4"
3510.23798044825,"p3","e4"
3182.69913871934,"p3","e4"
3606.39865086146,"p3","e4"
3423.25439536569,"p3","e4"
3751.0525133984,"p4","e4"
3622.22468706746,"p4","e4"
3343.08301125861,"p4","e4"
3695.80073772911,"p4","e4"
3373.90833940074,"p4","e4"
3894.15901718654,"p4","e4"
3529.03474961643,"p4","e4"
3678.16837100799,"p4","e4"
3405.15597769518,"p4","e4"
3385.79627298162,"p4","e4"
3850.97260936226,"p5","e4"
4066.8855756533,"p5","e4"
3569.61439826618,"p5","e4"
3833.93437070843,"p5","e4"
3612.9773363068,"p5","e4"
3655.6281659982,"p5","e4"
3391.10145206327,"p5","e4"
3484.89446157577,"p5","e4"
3526.78455068982,"p5","e4"
3354.43432793144,"p5","e4"
3442.17439563626,"p6","e4"
3457.18728450597,"p6","e4"
3442.95673285001,"p6","e4"
3730.89213356595,"p6","e4"
3682.33189221786,"p6","e4"
3646.91791850017,"p6","e4"
3770.25363333493,"p6","e4"
3614.51666124422,"p6","e4"
3505.7667529285,"p6","e4"
3432.21300097219,"p6","e4"
3726.45618777648,"p7","e4"
3314.01884488315,"p7","e4"
3508.04843760857,"p7","e4"
3492.77559980696,"p7","e4"
3740.26010623727,"p7","e4"
3520.4409155131,"p7","e4"
3751.82010271885,"p7","e4"
3716.73016726533,"p7","e4"
3504.70661544792,"p7","e4"
3780.54564606371,"p7","e4"
3531.81591131087,"p8","e4"
3534.19134585037,"p8","e4"
3431.4160682761,"p8","e4"
3527.92420632766,"p8","e4"
3454.79233068678,"p8","e4"
2987.20093165778,"p8","e4"
3320.81059248338,"p8","e4"
3355.32747476093,"p8","e4"
3209.18538407054,"p8","e4"
3610.14569835448,"p8","e4"
3873.76143509713,"p9","e4"
3291.77571950643,"p9","e4"
3724.42006316578,"p9","e4"
3869.28067437647,"p9","e4"
3334.83892446084,"p9","e4"
3920.35194965976,"p9","e4"
3413.58289908438,"p9","e4"
4005.23973592474,"p9","e4"
3370.95602568924,"p9","e4"
3705.72833716,"p9","e4"
3558.8041096435,"p10","e4"
3435.59479391605,"p10","e4"
2996.96392519164,"p10","e4"
3306.07390010611,"p10","e4"
3494.47016690991,"p10","e4"
3879.15766212917,"p10","e4"
3613.52209943491,"p10","e4"
3733.01467349569,"p10","e4"
3616.45317177678,"p10","e4"
3484.47823561749,"p10","e4"
3705.03270110709,"p1","e5"
3354.10238506202,"p1","e5"
3693.83584903004,"p1","e5"
3685.50438043712,"p1","e5"
3663.92776599592,"p1","e5"
3666.6809672548,"p1","e5"
3630.02540933697,"p1","e5"
3434.3499724992,"p1","e5"
3932.79475062662,"p1","e5"
3694.77443263553,"p1","e5"
3724.1496849449,"p2","e5"
3527.8151102654,"p2","e5"
3718.3014634195,"p2","e5"
3805.11601412078,"p2","e5"
3733.75754793172,"p2","e5"
3351.45838814032,"p2","e5"
3440.59606257329,"p2","e5"
3556.57247573959,"p2","e5"
3830.18296190342,"p2","e5"
3515.36333719555,"p2","e5"
3793.42077088418,"p3","e5"
3829.23783031123,"p3","e5"
3699.65149903897,"p3","e5"
3255.45216693748,"p3","e5"
3410.1617055107,"p3","e5"
3516.28675853631,"p3","e5"
3493.17893721437,"p3","e5"
3499.36685999213,"p3","e5"
3449.06961734124,"p3","e5"
3633.49146742135,"p3","e5"
3936.63053652596,"p4","e5"
3803.9826392339,"p4","e5"
3617.52176570276,"p4","e5"
3800.37313857853,"p4","e5"
3723.69783227102,"p4","e5"
3587.19345962127,"p4","e5"
3935.6072809347,"p4","e5"
3699.68543219625,"p4","e5"
3704.05959378181,"p4","e5"
3701.88140606815,"p4","e5"
4021.42653275172,"p5","e5"
3865.75497744496,"p5","e5"
3990.15807180857,"p5","e5"
3668.39637801693,"p5","e5"
3657.0882032957,"p5","e5"
3665.84188812421,"p5","e5"
3617.16210430544,"p5","e5"
3557.22725039908,"p5","e5"
3583.39369473503,"p5","e5"
3574.55570964758,"p5","e5"
4074.37795695543,"p6","e5"
3626.30594112249,"p6","e5"
3511.53970508537,"p6","e5"
3730.36206646135,"p6","e5"
3739.96553012924,"p6","e5"
3878.83621123353,"p6","e5"
3899.55662789361,"p6","e5"
3610.37421672989,"p6","e5"
3400.9003620203,"p6","e5"
3532.86411589242,"p6","e5"
3822.59947485217,"p7","e5"
3389.14039163217,"p7","e5"
3676.39236831422,"p7","e5"
3809.71663587766,"p7","e5"
3617.15642948462,"p7","e5"
3826.93474811713,"p7","e5"
3619.05772232423,"p7","e5"
3678.96357222639,"p7","e5"
3911.47854186327,"p7","e5"
3607.35501564454,"p7","e5"
3478.53440651049,"p8","e5"
3583.22486185107,"p8","e5"
3619.25344968313,"p8","e5"
3382.04471501689,"p8","e5"
3596.2091087577,"p8","e5"
3726.43770904302,"p8","e5"
3449.03570082725,"p8","e5"
3810.05642002445,"p8","e5"
3617.67465624996,"p8","e5"
3426.76752030403,"p8","e5"
3801.5000241225,"p9","e5"
3895.28789540838,"p9","e5"
3641.17989996076,"p9","e5"
3849.98119433669,"p9","e5"
3804.88568624184,"p9","e5"
4054.48719043675,"p9","e5"
3604.56087192099,"p9","e5"
4120.65303888387,"p9","e5"
3791.53763792051,"p9","e5"
3727.82352969716,"p9","e5"
3647.52426376748,"p10","e5"
3640.57537245623,"p10","e5"
3218.95560512871,"p10","e5"
3326.04489692075,"p10","e5"
3846.78683386084,"p10","e5"
3829.40649378882,"p10","e5"
3762.81138901792,"p10","e5"
3944.58527485061,"p10","e5"
3846.65058177605,"p10","e5"
3800.89555851017,"p10","e5"
4053.95938629492,"p1","e6"
3755.29499210203,"p1","e6"
3649.72884099318,"p1","e6"
3938.54371740344,"p1","e6"
3795.27842749826,"p1","e6"
3763.40970191796,"p1","e6"
3671.80935321852,"p1","e6"
4088.58203844195,"p1","e6"
3682.11117926327,"p1","e6"
3891.26175527188,"p1","e6"
3816.69651101788,"p2","e6"
4108.57732474906,"p2","e6"
3975.76873431781,"p2","e6"
3827.45307140521,"p2","e6"
3867.69528733371,"p2","e6"
3950.07689984785,"p2","e6"
3991.82275992199,"p2","e6"
3853.97181830546,"p2","e6"
3871.26147548751,"p2","e6"
3817.34097454419,"p2","e6"
3728.78245426502,"p3","e6"
3624.7320875456,"p3","e6"
3534.11559477097,"p3","e6"
3900.04003946714,"p3","e6"
4020.00655512681,"p3","e6"
3738.88835740922,"p3","e6"
3719.31146047533,"p3","e6"
3529.60262346745,"p3","e6"
3679.15012535638,"p3","e6"
4092.73606794597,"p3","e6"
3966.14080333469,"p4","e6"
3995.84623684378,"p4","e6"
3915.7184446682,"p4","e6"
4102.17039081922,"p4","e6"
3886.22131464647,"p4","e6"
3779.61526416558,"p4","e6"
3960.41881819184,"p4","e6"
3895.05136892324,"p4","e6"
3937.91856675726,"p4","e6"
3884.78195238713,"p4","e6"
4355.79403557342,"p5","e6"
4051.5615915929,"p5","e6"
3902.38122814119,"p5","e6"
3872.24281081005,"p5","e6"
3434.02693175768,"p5","e6"
4040.17950776713,"p5","e6"
4145.3257702085,"p5","e6"
3683.53503094613,"p5","e6"
3857.47022107849,"p5","e6"
3786.31487140359,"p5","e6"
3809.65149129901,"p6","e6"
4235.50531056401,"p6","e6"
3848.86296780262,"p6","e6"
3963.76288215065,"p6","e6"
3726.24664722509,"p6","e6"
3787.7334939278,"p6","e6"
3913.14468680635,"p6","e6"
3839.68127111618,"p6","e6"
4057.23489760158,"p6","e6"
3903.86740864288,"p6","e6"
3834.91588866058,"p7","e6"
3850.36550280708,"p7","e6"
3977.88898053606,"p7","e6"
3922.31565776315,"p7","e6"
3835.28933420722,"p7","e6"
3850.37324189586,"p7","e6"
3793.31671309363,"p7","e6"
4049.08289031477,"p7","e6"
3917.43489955823,"p7","e6"
3945.75697051337,"p7","e6"
3968.00922646853,"p8","e6"
3986.19512444762,"p8","e6"
3940.06270310622,"p8","e6"
3581.42761163714,"p8","e6"
3911.30918767498,"p8","e6"
3703.30750946832,"p8","e6"
3702.45926677765,"p8","e6"
3772.82599004111,"p8","e6"
3633.39705336807,"p8","e6"
3516.16177628825,"p8","e6"
4281.94732247162,"p9","e6"
4390.75593860569,"p9","e6"
3759.58867151073,"p9","e6"
3739.67471711461,"p9","e6"
3896.70937540005,"p9","e6"
3893.13040417948,"p9","e6"
3801.10460972412,"p9","e6"
3899.17649169249,"p9","e6"
3873.07978753976,"p9","e6"
3999.19917422784,"p9","e6"
3983.78683559987,"p10","e6"
3946.93745218628,"p10","e6"
3767.8995652586,"p10","e6"
3834.78604348512,"p10","e6"
4030.96527756251,"p10","e6"
3864.4684652256,"p10","e6"
3969.40463292579,"p10","e6"
3734.4991304518,"p10","e6"
3817.43232585743,"p10","e6"
3427.54391358243,"p10","e6"
3700.35425910654,"p1","e7"
3546.01705276375,"p1","e7"
3543.29003098521,"p1","e7"
3439.32719276193,"p1","e7"
3397.48560412713,"p1","e7"
3504.46208349662,"p1","e7"
3656.05648276782,"p1","e7"
3440.01183678734,"p1","e7"
3663.27592772827,"p1","e7"
3517.36762559979,"p1","e7"
3441.14096618988,"p2","e7"
3367.83635454322,"p2","e7"
3496.46815884861,"p2","e7"
3757.04460577805,"p2","e7"
3610.06944531089,"p2","e7"
3806.14844944055,"p2","e7"
3501.35447268607,"p2","e7"
3347.38138900405,"p2","e7"
3478.04160612056,"p2","e7"
3562.60817896024,"p2","e7"
3607.869650232,"p3","e7"
3360.92913426337,"p3","e7"
3401.40322709687,"p3","e7"
3724.59603009062,"p3","e7"
3638.34690403421,"p3","e7"
3454.34099850721,"p3","e7"
3605.00975683468,"p3","e7"
3314.49571943709,"p3","e7"
3731.72619950068,"p3","e7"
3462.9044720136,"p3","e7"
3777.5292082742,"p4","e7"
3472.09825125014,"p4","e7"
3637.95651143012,"p4","e7"
3488.18542993116,"p4","e7"
3545.28878779058,"p4","e7"
3673.00982662977,"p4","e7"
3615.24979710306,"p4","e7"
3178.99776216532,"p4","e7"
3445.33473825009,"p4","e7"
3516.43853122395,"p4","e7"
3895.59083653447,"p5","e7"
4064.81925340035,"p5","e7"
3266.17905761801,"p5","e7"
3600.99636094802,"p5","e7"
3392.41127844234,"p5","e7"
3725.30473648754,"p5","e7"
3630.2948912845,"p5","e7"
3466.46378209348,"p5","e7"
3512.49637528601,"p5","e7"
3383.88568588753,"p5","e7"
3694.32927498391,"p6","e7"
3834.64521178104,"p6","e7"
3691.03254321182,"p6","e7"
3638.00442704295,"p6","e7"
3293.15804568808,"p6","e7"
3555.45027992781,"p6","e7"
3671.48909028555,"p6","e7"
3597.56945052549,"p6","e7"
3656.24419742856,"p6","e7"
3693.99246141022,"p6","e7"
3720.75005306942,"p7","e7"
3389.68813023023,"p7","e7"
3638.12888168326,"p7","e7"
3550.1106348313,"p7","e7"
3539.12948906527,"p7","e7"
3630.5112016517,"p7","e7"
3650.06279192587,"p7","e7"
3645.25891604599,"p7","e7"
3704.52324165007,"p7","e7"
3709.32228457721,"p7","e7"
3637.72261665704,"p8","e7"
3244.21741320059,"p8","e7"
3430.03308420186,"p8","e7"
3164.01431581766,"p8","e7"
3920.76628118278,"p8","e7"
3651.05846053791,"p8","e7"
3615.73191879593,"p8","e7"
3406.68396642785,"p8","e7"
3713.04704135109,"p8","e7"
3335.94814582197,"p8","e7"
3711.33952675142,"p9","e7"
3810.17359177331,"p9","e7"
3702.83715233682,"p9","e7"
3705.79444409819,"p9","e7"
3887.50969987661,"p9","e7"
3890.67793287245,"p9","e7"
3327.43274614412,"p9","e7"
3851.22986922283,"p9","e7"
3441.50339852024,"p9","e7"
3623.9084282803,"p9","e7"
3610.35369054721,"p10","e7"
3638.90424308867,"p10","e7"
3261.1080416551,"p10","e7"
3565.6439937455,"p10","e7"
3618.6439739796,"p10","e7"
3652.94338112978,"p10","e7"
3815.33229684158,"p10","e7"
3495.99495186861,"p10","e7"
3680.0391878353,"p10","e7"
3600.53579907335,"p10","e7"
3870.09755659205,"p1","e8"
3629.53424089797,"p1","e8"
3416.66216126026,"p1","e8"
3722.53946745231,"p1","e8"
3613.84298923349,"p1","e8"
3977.54260908563,"p1","e8"
3738.44311696363,"p1","e8"
3566.0804019621,"p1","e8"
3673.71913301233,"p1","e8"
3739.06765521394,"p1","e8"
3569.88185951702,"p2","e8"
3566.05767030681,"p2","e8"
3887.83933385799,"p2","e8"
3873.76675834355,"p2","e8"
4002.81141728816,"p2","e8"
3860.08159606173,"p2","e8"
3505.85597248678,"p2","e8"
3772.89260609248,"p2","e8"
3716.85770381256,"p2","e8"
3691.87631063087,"p2","e8"
3941.58506420992,"p3","e8"
3599.09291770256,"p3","e8"
3745.95835061319,"p3","e8"
3479.47364142762,"p3","e8"
3572.08093344421,"p3","e8"
3512.24590680234,"p3","e8"
3583.43661115761,"p3","e8"
3590.73615286739,"p3","e8"
3660.92003805701,"p3","e8"
3660.6906236314,"p3","e8"
3803.68341458672,"p4","e8"
3734.5719839862,"p4","e8"
3752.31234359241,"p4","e8"
3810.86375616691,"p4","e8"
3686.56346201971,"p4","e8"
3673.84250053689,"p4","e8"
3662.766082371,"p4","e8"
3740.08366363765,"p4","e8"
3560.6043580553,"p4","e8"
3421.21488986027,"p4","e8"
3924.70538906543,"p5","e8"
3654.21930132815,"p5","e8"
3555.20370359824,"p5","e8"
3870.96957251203,"p5","e8"
3647.76691910869,"p5","e8"
3577.29618762061,"p5","e8"
3424.59093953709,"p5","e8"
3366.57306606479,"p5","e8"
3575.70405937884,"p5","e8"
3774.08787206238,"p5","e8"
3562.2180545216,"p6","e8"
3860.78690720453,"p6","e8"
3842.69551929729,"p6","e8"
4085.24210745344,"p6","e8"
3792.09269814676,"p6","e8"
3753.60763402932,"p6","e8"
3901.31125668887,"p6","e8"
3765.34859521582,"p6","e8"
3722.2661663167,"p6","e8"
3671.07957366039,"p6","e8"
3679.09806360404,"p7","e8"
3678.88026443104,"p7","e8"
3752.65967296025,"p7","e8"
3533.17726526204,"p7","e8"
3822.48764105618,"p7","e8"
3664.08917371794,"p7","e8"
3590.97378994709,"p7","e8"
3693.86721122326,"p7","e8"
3766.46273445405,"p7","e8"
3980.014533851,"p7","e8"
3427.85899069099,"p8","e8"
3898.26909063798,"p8","e8"
3485.30160371129,"p8","e8"
3892.33645544506,"p8","e8"
3555.49772437477,"p8","e8"
3476.25322518004,"p8","e8"
3321.26948844368,"p8","e8"
3626.26722966526,"p8","e8"
3489.44041136587,"p8","e8"
4020.55926750804,"p8","e8"
3882.0152869432,"p9","e8"
4158.25628968099,"p9","e8"
4027.87206325413,"p9","e8"
3903.30895038239,"p9","e8"
3981.41458310308,"p9","e8"
4171.54758326883,"p9","e8"
3680.83610643627,"p9","e8"
3907.78477399881,"p9","e8"
3746.60694393586,"p9","e8"
3721.32319401337,"p9","e8"
3957.52265450752,"p10","e8"
3740.44980018912,"p10","e8"
3498.17603103138,"p10","e8"
3743.18779117357,"p10","e8"
3882.59054298659,"p10","e8"
3746.36896925517,"p10","e8"
3832.19592781909,"p10","e8"
3927.62014653882,"p10","e8"
3578.47597770307,"p10","e8"
3826.3214601686,"p10","e8"
4105.55548975502,"p1","e9"
3933.26262587881,"p1","e9"
3858.03546885352,"p1","e9"
3849.01692687612,"p1","e9"
3965.93023105489,"p1","e9"
3842.33175107527,"p1","e9"
4139.10985051267,"p1","e9"
3722.49175244832,"p1","e9"
3919.76840624794,"p1","e9"
3829.11598992526,"p1","e9"
3887.8485560593,"p2","e9"
3610.86556587953,"p2","e9"
